#{"t_start": 1618914779.2449338, "env_id": "JSBSim-v1"}
r,l,t
1.004674,118,6652.20606
1.299149,139,6661.801599
3.349064,141,6672.913829
1.604472,125,6681.791664
-0.412478,107,6688.404665
-8.503692,143,6699.507151
-1.265515,123,6706.956433
1.201977,81,6713.684531
1.152572,175,6725.410216
-0.323643,182,6738.739523
-0.867356,102,6746.336393
-5.735865,144,6756.300259
8.967724,110,6764.316546
9.143609,113,6772.497902
11.586879,76,6777.685957
-4.393684,166,6788.857659
12.618559,118,6797.402052
-1.329777,154,6809.183994
0.457949,160,6820.045407
2.302064,97,6827.40144
14.272291,45,6829.728135
-2.664281,151,6841.334691
6.48286,34,6843.05942
10.347684,45,6846.714106
-0.023154,153,6857.183732
3.128069,131,6866.352506
-2.317324,98,6873.754625
-4.030389,149,6883.958396
2.377094,131,6893.19868
0.170082,112,6901.365616
1.501166,175,6914.357737
-0.580884,106,6920.876817
1.564872,137,6931.783974
-1.407761,159,6942.546399
0.722813,95,6949.803065
-2.86189,180,6961.684385
-0.32725,110,6969.699763
-16.704803,178,6982.829379
1.020452,126,6991.752918
11.862354,36,6993.617052
1.583053,163,7005.889809
13.428697,17,7006.74655
10.85245,33,7009.724278
14.615537,37,7011.618647
-5.047661,121,7020.296028
-1.154165,109,7028.272478
-1.76712,148,7038.428797
7.119234,90,7045.540519
-3.220243,140,7055.046065
1.543625,171,7066.502363
-0.09139,159,7078.586349
14.322345,37,7081.757151
10.656782,103,7088.112749
6.986174,108,7096.099195
5.627694,1,7096.1027
14.437201,7,7096.468796
11.774262,21,7097.545435
0.027153,131,7106.686471
-4.203947,197,7120.884739
-9.560139,192,7134.78669
-0.374228,133,7145.370869
0.932396,121,7152.701909
-1.639701,161,7164.87297
1.887538,149,7209.788417
0.786102,98,7217.196616
14.133899,18,7218.089313
1.209307,162,7230.3035
-0.019718,165,7241.31408
0.968372,160,7253.379866
-6.910498,100,7259.524708
-1.155848,194,7273.51035
-0.011065,170,7286.074196
9.209647,21,7287.110337
-4.35108,122,7295.785846
8.840231,103,7303.392635
-0.086445,146,7313.435577
2.891299,187,7327.081111
-5.546512,117,7335.463957
1.306131,151,7345.7488
-0.201616,180,7358.883492
-2.793608,170,7371.581775
1.05261,113,7378.471159
-11.666942,142,7389.62975
12.814328,30,7391.115082
8.023324,97,7398.46074
-4.022354,199,7412.685899
-3.783199,204,7427.168028
-0.487934,189,7440.780139
-2.549307,187,7454.306794
12.961128,59,7458.605917
1.52105,140,7468.320859
6.810752,87,7473.935183
-4.027222,147,7485.324949
1.215828,74,7490.313491
1.959229,193,7504.191257
-2.787426,152,7514.519667
1.209721,154,7525.067887
5.479664,70,7531.127632
8.007639,49,7533.677882
-3.894434,124,7542.529183
1.19011,152,7554.113318
0.532976,110,7560.832505
6.387648,68,7565.582532
2.051549,107,7573.442347
0.654359,107,7581.276663
-3.727169,137,7590.755812
1.20551,96,7596.701689
6.607075,39,7599.960132
2.987089,94,7605.829754
1.83678,107,7613.661741
14.533701,5,7613.930781
-0.072587,103,7621.541679
12.154048,135,7630.881804
-2.313036,177,7644.031696
1.163088,112,7650.856211
8.961518,46,7654.536931
-2.961251,122,7663.25344
11.392357,104,7670.881748
-0.200055,127,7679.779736
2.155435,108,7686.392123
-6.230008,135,7697.03588
10.939157,1,7697.038132
-0.144053,137,7706.502961
1.389459,126,7715.409853
14.455142,2,7715.49284
-1.964256,115,7722.455063
0.363094,164,7734.768655
9.260413,1,7734.790496
0.260856,104,7742.494726
-9.293192,158,7753.146217
3.263461,82,7758.498533
3.36456,151,7769.977146
3.416564,168,7781.241204
9.228467,100,7788.676697
8.054611,56,7792.872084
3.107954,163,7803.8335
-1.927945,203,7819.611428
-2.538941,115,7826.525152
13.313826,114,7834.775768
-1.203999,163,7847.022485
1.810536,120,7855.62152
11.29379,112,7862.445371
14.03512,36,7865.581255
1.940553,159,7876.349115
1.734824,92,7883.524943
8.987274,15,7884.316406
2.348695,185,7897.747509
-1.028766,177,7939.939637
9.652362,5,7940.1944
-0.502853,110,7946.837248
14.619416,94,7954.040392
-0.466041,126,7962.905425
-0.925648,194,7976.873334
9.910664,22,7977.939667
13.922222,94,7985.141553
13.003181,66,7989.76239
14.362748,2,7989.831114
-1.827872,157,8000.399533
9.656938,76,8005.564492
-2.426924,160,8017.61705
-0.725108,167,8030.048403
1.174995,126,8038.894508
0.92757,129,8047.956447
1.460271,103,8054.259662
-5.171783,145,8064.255411
-3.221933,130,8073.323997
10.118635,32,8076.260871
-1.159276,196,8090.306942
0.70757,135,8099.735441
1.941046,150,8109.954774
0.794937,108,8117.881319
-1.103765,157,8129.684293
2.597259,149,8139.815605
11.554954,42,8143.285435
-3.246853,105,8149.667942
-2.630749,191,8163.4386
12.922218,50,8167.363523
5.717752,28,8168.752968
-0.067676,159,8180.718844
7.876585,35,8182.494811
0.76878,133,8193.068123
-4.438073,136,8202.510356
0.627919,144,8212.380033
-2.856605,126,8221.305589
2.544337,110,8229.309272
0.666924,186,8242.894064
0.997403,145,8252.890867
-2.855956,118,8261.323726
11.84812,42,8263.478804
-2.032678,142,8274.5065
0.882594,105,8280.899995
10.112304,43,8284.436181
-0.062684,133,8293.728011
-3.896996,162,8304.605635
-8.981292,160,8316.662689
-3.425435,136,8326.120689
1.401297,137,8335.59608
-2.45196,106,8343.359715
-7.725544,164,8354.338377
13.386557,14,8356.382775
-0.563148,165,8367.394165
-1.21302,141,8377.082412
2.151851,148,8388.515932
1.045187,95,8394.49313
-4.800685,185,8408.001449
10.644747,45,8411.646854
-1.297919,98,8417.757419
2.435824,128,8426.776602
8.313451,54,8430.901112
1.705551,150,8442.426099
-0.003644,111,8449.149214
1.116079,135,8458.545128
-1.1987,118,8466.955804
1.135068,104,8474.597672
5.746811,46,8478.28454
10.380439,10,8478.80863
-4.318001,190,8492.521373
3.115633,106,8499.030216
0.126312,161,8511.185681
6.493202,34,8512.899854
2.298521,116,8521.188647
0.423456,138,8530.715449
-7.31139,195,8544.739285
1.598219,123,8553.486186
-9.394247,151,8565.133811
-2.639834,130,8574.299584
1.224425,97,8580.335675
2.379168,108,8588.265678
0.377646,162,8599.127927
-0.092928,141,8610.138319
8.574923,20,8611.167498
12.674228,26,8612.47096
-5.928601,118,8620.971947
14.048779,142,8630.756249
-6.106949,177,8643.823431
12.791428,37,8675.864127
11.241888,5,8676.126821
0.928095,102,8682.416399
-0.518494,98,8689.807264
3.719738,112,8697.95283
-0.625302,179,8711.109931
-0.572366,159,8721.812416
-2.223614,198,8735.871971
1.656414,105,8743.764478
0.236617,149,8754.098406
-1.092831,141,8763.942041
1.357228,128,8772.960204
0.181084,96,8780.262325
-0.161186,120,8788.823087
-1.773555,160,8799.529869
-6.343703,87,8806.465472
-0.938599,116,8813.50996
5.154329,113,8821.629009
1.216731,87,8827.20488
5.262751,52,8831.185816
11.378909,56,8835.351039
-3.29151,105,8843.071025
2.491087,145,8853.067595
1.207517,165,8865.47479
-0.0147,143,8875.342351
-0.042796,110,8883.355599
13.148569,81,8888.651453
1.174774,157,8899.292242
-2.723772,148,8910.835721
0.554903,176,8922.463166
